message,type,appropriate,reasons
Let me think,volunteer,TRUE,
Wait a moment,volunteer,TRUE,
nvm i figured it out,student,TRUE,
the american outlet is 120V not 60,student,TRUE,
okay thatś all bye,student,TRUE,
"Yes, you are correct.   It bis 120, not 60.   My bad!",volunteer,TRUE,
The correct answer is 120/140 = 0.857 A.    The power is current times voltage = 0.857 times 120 = 103 W (watts).,volunteer,TRUE,
Hi Kieu Anh,volunteer,TRUE,
what can I help you with today?,volunteer,TRUE,
This one question on my homework assignment,student,TRUE,
Thanks,student,TRUE,
reading...,volunteer,TRUE,
have you tried this one before?,volunteer,TRUE,
have you learned this formula?,volunteer,TRUE,
let's find the k value first,volunteer,TRUE,
"after 4 hours, only 1/2 of the original dose is left",volunteer,TRUE,
"now, we would like to find out how many are left at 1pm, (after one hour)",volunteer,TRUE,
can you use a calculator to compute 0.5^(1/4)?,volunteer,TRUE,
gotchu,student,TRUE,
0.8408964153,student,TRUE,
0.84,student,TRUE,
yes!!!,volunteer,TRUE,
does this make sense?,volunteer,TRUE,
uh yes,student,TRUE,
will the expression be f(x)= 225*(1/2)^x?,student,TRUE,
let me think,volunteer,TRUE,
e^-4k?,student,TRUE,
to write it in the power of 1/2,volunteer,TRUE,
"yes, because e^(-4k)=1/2",volunteer,TRUE,
how?,student,TRUE,
so we write e^(-kx) in terms of 1/2 or e^(-4k),volunteer,TRUE,
here x is in terms of hours,volunteer,TRUE,
"from here, we can calculate f(7)",volunteer,TRUE,
ah okay I got it,student,TRUE,
for the last one,volunteer,TRUE,
we just need to find x,volunteer,TRUE,
x is in hours,volunteer,TRUE,
so x = 10 means 10pm (because x=0 is noon),volunteer,TRUE,
oh so it's not 5?,student,TRUE,
why not?,student,TRUE,
because 1/2 is 4 hours,volunteer,TRUE,
"so after x hours, we will have",volunteer,TRUE,
makes sense,student,TRUE,
"so after 5 hours, we will have 225 (1/2)5/4",volunteer,TRUE,
this is a good question,volunteer,TRUE,
Okay thanks so much,student,TRUE,
any more problems?,volunteer,TRUE,
No more problems,student,TRUE,
you are very welcome.,volunteer,TRUE,
bye,volunteer,TRUE,
Bye,student,TRUE,
yoo sup,volunteer,TRUE,
hows it going,volunteer,TRUE,
good how r you,student,TRUE,
im great thx man,volunteer,TRUE,
alr let's get started,volunteer,TRUE,
so how did you start 7a?,volunteer,TRUE,
haven't start it yet,student,TRUE,
do u have any ideas so far?,volunteer,TRUE,
ok so first of all when we increase a stock by 8%,volunteer,TRUE,
let's say it's 100k,volunteer,TRUE,
what does it become now,volunteer,TRUE,
what is it worth?,volunteer,TRUE,
10800,student,TRUE,
108000,student,TRUE,
oh yea lol i missed the typo,volunteer,TRUE,
"if we increase 108,000 by 8 percent, what do we get?",volunteer,TRUE,
116640,student,TRUE,
continue this process for a couple of times,volunteer,TRUE,
and yea u can use the calculator,volunteer,TRUE,
try using a power of 1.08!,volunteer,TRUE,
Sure should I tell you what I get each time or should I just continue ten times?,student,TRUE,
ten times for a decade?,student,TRUE,
yea just skip ahead,volunteer,TRUE,
"like 100,000(1.08)^10",volunteer,TRUE,
u know why that represents 8% each year for 10 years?,volunteer,TRUE,
yea,student,TRUE,
yea,volunteer,TRUE,
ok sweet,volunteer,TRUE,
so what did you get from that?,volunteer,TRUE,
215892.4997,student,TRUE,
215892.499,student,TRUE,
i got 215892.5 but close enough,volunteer,TRUE,
oh yes,student,TRUE,
ok now try out the 80% in one go,volunteer,TRUE,
180% of 100k is?,volunteer,TRUE,
180000,student,TRUE,
"so that's weird, why did that happen?",volunteer,TRUE,
if ur stuck just lmk,volunteer,TRUE,
Yeah I am stuck,student,TRUE,
ok that's fine,volunteer,TRUE,
let's say instead we took 8% of the original stock,volunteer,TRUE,
and added it to the original,volunteer,TRUE,
but then instead of taking 8% of 108,volunteer,TRUE,
"we added another 8% of 100,000 to our value",volunteer,TRUE,
what do you think we'd get?,volunteer,TRUE,
"for example, 100,000 + 8,000 + 8,000 etc.",volunteer,TRUE,
"instead of 100,000 + 8,000 + 8,640",volunteer,TRUE,
is 8640 8% of 108000?,student,TRUE,
okay I get this part,student,TRUE,
"nice, tell me the reason now?",volunteer,TRUE,
just wanna confirm ur good with this part,volunteer,TRUE,
okay so the stock value does not increase by 80% each decade because we need the value to increase by 8% of the original value not 8% of the value of a stock each year?,student,TRUE,
Im not sure if this makes sense,student,TRUE,
you're on the right track here,volunteer,TRUE,
if we increased the stock by 80%,volunteer,TRUE,
we essentially add 8% of the original value every time,volunteer,TRUE,
"so 100,000 + 8k + 8k + 8k ...etc",volunteer,TRUE,
"but with 8% every 10 years, we add 8% of the new value every time",volunteer,TRUE,
"it would add 8000, but then 8640 (8% of 108000), and then it would continue on from there",volunteer,TRUE,
"essentially, the interest we add to the stock also generates its own interest",volunteer,TRUE,
but the question ask why the stock value does not increase by 80% each decade?,student,TRUE,
"80% would be added 8k every time, but 8% each year would be 8k, then a little more than 8k, then a little more than that",volunteer,TRUE,
are you able to put that in general terms?,volunteer,TRUE,
no..,student,TRUE,
ok that's alright,volunteer,TRUE,
so basically the stock would increase more than 80% because 8% of the stock changes,volunteer,TRUE,
if u get what im saying here,volunteer,TRUE,
"8% would be 8k first, but then since we add that to 100k, we then take 8% again which is 8640",volunteer,TRUE,
"but 80% in a decade would not change the 8%, like it'd be constant",volunteer,TRUE,
do you get it? I tried to explain it clearer lol,volunteer,TRUE,
yo dude u still there? was that too confusing? srry man,volunteer,TRUE,
ah yes I'm here,student,TRUE,
u get the explanation i put down?,volunteer,TRUE,
no im sorry,student,TRUE,
I am really lost,student,TRUE,
it's alright lol,volunteer,TRUE,
this is also a little difficult for me to explain lol,volunteer,TRUE,
Is there an easier way to demonstrate this?,student,TRUE,
Yeah I get that,student,TRUE,
hmm lemme think for a sec,volunteer,TRUE,
Take your time,student,TRUE,
visualization would be really nice,volunteer,TRUE,
agreed,student,TRUE,
ok how about a simpler example,volunteer,TRUE,
if i had 100$,volunteer,TRUE,
yea?,student,TRUE,
and you add an interest of 50% twice,volunteer,TRUE,
how much would you get?,volunteer,TRUE,
200?,student,TRUE,
it would first be 100 + 50,volunteer,TRUE,
bc 50 is 50% of 100,volunteer,TRUE,
then you have 150,volunteer,TRUE,
and take 50% of 150,volunteer,TRUE,
not 100,volunteer,TRUE,
but yea ur own the right track there,volunteer,TRUE,
so the total answer would be 225,volunteer,TRUE,
"but if i took 100% of 100$ just once,",volunteer,TRUE,
i get 200$,volunteer,TRUE,
so the first one was 100 + 50 + 75,volunteer,TRUE,
while the first one was 100 + 100,volunteer,TRUE,
i can split up one of the 100's into this:,volunteer,TRUE,
100 + 50 + 50,volunteer,TRUE,
"so essentially, the +100% was the same as adding 50% of 100 and 50% of 100",volunteer,TRUE,
the +50% twice was 50% of 100 plus 50% of 150,volunteer,TRUE,
u see why they're different?,volunteer,TRUE,
can u apply to the original question?,volunteer,TRUE,
not sure,student,TRUE,
it would be adding 8% of the original value to the stock,volunteer,TRUE,
then you take 8% of that value and add it to the stock,volunteer,TRUE,
I understand it but I don't think I can put it into words for an explanation yet,student,TRUE,
oh ok nice,volunteer,TRUE,
can u answer 7b tho?,volunteer,TRUE,
yes would it be less than 80%?,student,TRUE,
it would actually be more,volunteer,TRUE,
Wait what,student,TRUE,
why is that,student,TRUE,
it'd be 8000 + 8640... compared to 8000 + 8000...,volunteer,TRUE,
remember that comparision?,volunteer,TRUE,
ah okay,student,TRUE,
yea ok sweet,volunteer,TRUE,
how should I put this into words?,student,TRUE,
80% in a decade was adding 8% of the original value multiple times,volunteer,TRUE,
8% of the stock value would change every time,volunteer,TRUE,
when we increase it by 8% each year,volunteer,TRUE,
ok u good on how to describe it in words?,volunteer,TRUE,
niceee,volunteer,TRUE,
and ur good on this entire problem?,volunteer,TRUE,
Yes thanks so much!,student,TRUE,
npp,volunteer,TRUE,
any other questions u need to go over?,volunteer,TRUE,
nope that'll be all,student,TRUE,
alr then cya dude!,volunteer,TRUE,
gl on this question!,volunteer,TRUE,
Thank you! Bye!,student,TRUE,
105 is total tuskless,volunteer,TRUE,
